group,parameter,macro,low,current,high,dataset,frame,changed_frames,total_frames,changed_percent,low_delta,high_delta
信标阈值,普通信标阈值,BEACON_BINARY_THRESHOLD_DEFAULT,90,120,150,beacon,0,1,20,5.0,信标检出帧 +0，平均半径 +0.24px，跟踪帧 +0,信标检出帧 +0，平均半径 -0.15px，跟踪帧 +0
信标阈值,顶部/左右阈值,BEACON_EDGE_THRESHOLD,65,80,95,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
信标阈值,跟踪弱光恢复阈值,BEACON_TRACK_THRESHOLD,90,105,120,flight,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
信标阈值,顶部低阈值边界,BEACON_TOP_THRESHOLD_Y,35,45,55,beacon,0,1,20,5.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.19px，跟踪帧 +0
信标阈值,左侧低阈值边界,BEACON_EDGE_LEFT_X,10,19,30,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
信标阈值,右侧低阈值边界,BEACON_EDGE_RIGHT_X,160,172,180,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
面积/形状,普通信标最小面积,BEACON_MIN_COMPONENT_AREA,4,6,10,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
面积/形状,边缘信标最小面积,BEACON_EDGE_MIN_AREA,1,2,4,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
面积/形状,顶部信标最大面积,BEACON_TOP_EDGE_MAX_AREA,35,50,80,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
面积/形状,左右信标最大面积,BEACON_EDGE_MAX_AREA,40,60,90,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
背景判据,孤立小信标峰值,BEACON_ISOLATED_GRAY_MIN,100,120,150,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
背景判据,孤立小信标背景上限,BEACON_ISOLATED_BG_MAX,0,2,8,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
背景判据,局部背景环内半径,BEACON_LOCAL_RING_INNER,2,3,5,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
背景判据,局部背景环外半径,BEACON_LOCAL_RING_OUTER,6,8,12,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
车灯邻域,车灯附近判定范围,LAMP_NEAR_BEACON_PAD,4,8,12,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
车灯邻域,车灯附近信标最小面积,LAMP_NEAR_BEACON_MIN_AREA,12,21,30,beacon,0,0,20,0.0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0,信标检出帧 +0，平均半径 +0.00px，跟踪帧 +0
