I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63
86856,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-21.2166595,-4.08333206,-5.6233778,18.2681885,-999,-999,0,-999,-999,0,13.1016922,51.6101685,-14.8270969,19.435812,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0212998893,-0.226266265,87.5384293,6,0,-1.34347141,0,0.000735233247,0,0,1078.62219,-4.58623505,-0.473227561,1.16613686,-1,0,3
86861,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-21.2166595,-4.08333206,-5.6233778,18.2681885,-999,-999,0,-999,-999,0,13.5178604,51.696434,-15.0034008,19.2066345,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0212998893,-0.226266265,87.5384293,6,0,-1.34347141,0,0.000735233247,0,0,1078.30359,-4.64270735,-0.514444172,1.19430959,-1,0,3
86866,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-21.2166595,-4.08333206,-5.6233778,18.2681885,-999,-999,0,-999,-999,0,13.5178604,51.696434,-15.0034008,19.2066345,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0205656458,-0.226200148,87.5947113,6,0,-1.343472,0,0.00274744723,0,0,1073.62207,-4.69578266,-0.540333748,1.22390735,-1,0,3
86871,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-21.2166595,-4.08333206,-5.6233778,18.2681885,-999,-999,0,-999,-999,0,13.5178604,51.696434,-15.0034008,19.2066345,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0205656458,-0.226200148,87.5947113,6,0,-1.343472,0,0.00274744723,0,0,1073.05261,-4.73979998,-0.569801748,1.25204194,-1,0,3
86876,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-19.4827576,-4.46551895,-3.84035397,17.7438164,-999,-999,0,-999,-999,0,13.8688431,51.8524551,-14.3356209,20.2205067,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.022793185,-0.214517131,89.0218735,6,0,-1.3434633,0,0.00121711928,0,0,1071.57117,-4.78174305,-0.604607463,1.27684295,-1,0,3
86881,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-20.1754379,-4.71929932,-7.64328671,17.0145817,-999,-999,0,-999,-999,0,13.9166718,52.0500031,-14.9209747,20.0580273,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.022793185,-0.214517131,89.0218735,6,0,-1.3434633,0,0.00121711928,0,0,1070.95483,-4.83376122,-0.645079374,1.30132604,-1,0,3
86886,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-20.1754379,-4.71929932,-7.64328671,17.0145817,-999,-999,0,-999,-999,0,13.9166718,52.0500031,-14.9209747,20.0580273,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0241956674,-0.217798978,86.9219284,6,0,-1.34345698,0,0.000539183849,0,0,1070.48254,-4.88219404,-0.678127289,1.33217776,-1,0,3
86891,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-20.4259262,-4.94444275,-8.86169624,16.5796223,-999,-999,0,-999,-999,0,13.9508133,52.1967163,-15.1106348,19.6114044,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0241956674,-0.217798978,86.9219284,6,0,-1.34345698,0,0.000539183849,0,0,1069.88147,-4.94332981,-0.715306818,1.3626008,-1,0,3
86896,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-20.4259262,-4.94444275,-8.86169624,16.5796223,-999,-999,0,-999,-999,0,13.9508133,52.1967163,-15.1106348,19.6114044,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0249622893,-0.218487084,86.3010635,6,0,-1.34345055,0,0.000238858454,0,0,1073.8103,-5.01018476,-0.753590047,1.39235854,-1,0,3
86901,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-20.370369,-5.16666794,-7.32832289,16.4047451,-999,-999,0,-999,-999,0,14.5172424,52.3620682,-15.7107849,19.796011,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,0.0249622893,-0.218487084,86.3010635,6,0,-1.34345055,0,0.000238858454,0,0,1073.48071,-5.06609249,-0.787243426,1.42306817,-1,0,3
